Date, TOTAL, New York, Washington, California, New Jersey, Illinois, Michigan, Florida, Louisiana, Texas, Massachusetts, Georgia, Colorado, Tennessee, Pennsylvania, Wisconsin, Ohio, Connecticut, North Carolina, Maryland, Virginia, Mississippi, Indiana, South Carolina, Nevada, Utah, Minnesota, Arkansas, Oregon, Arizona, Missouri, Alabama, District of Columbia, Kentucky, Iowa, Maine, Rhode Island, Oklahoma, Kansas, New Hampshire, New Mexico, Hawaii, Vermont, Nebraska, Delaware, Diamond Princess (repatriated), Idaho, Montana, North Dakota, Guam, Wyoming, Puerto Rico, Alaska, Grand Princess, South Dakota, West Virginia, U.S. Virgin Islands, Wuhan (repatriated), American Samoa, Northern Mariana Islands
3/23/2020 1:00:00 AM, 35146, 16900, 1996, 1802, 1914, 1049, 1035, 1007, 837, 719, 646, 620, 591, 505, 479, 381, 351, 327, 307, 244, 219, 207, 201, 195, 190, 181, 169, 165, 161, 152, 144, 157, 116, 103, 90, 89, 83, 67, 67, 78, 65, 56, 52, 48, 56, 46, 42, 34, 30, 27, 24, 23, 32, 21, 21, 16, 6, 3, 0, 0
3/23/2020 8:39:05 PM, 45346, 22450, 2221, 2134, 2844, 1285, 1328, 1171, 1172, 806, 777, 800, 720, 615, 644, 416, 442, 415, 410, 288, 254, 249, 259, 299, 245, 257, 235, 197, 191, 234, 195, 196, 137, 124, 105, 107, 106, 81, 82, 101, 83, 77, 75, 50, 87, 46, 50, 45, 32, 29, 28, 31, 32, 21, 28, 20, 17, 3, 0, 0
3/24/2020 2:29:55 PM, 52882, 25665, 2221, 2494, 3675, 1535, 1791, 1412, 1388, 918, 1159, 1026, 720, 667, 851, 457, 564, 618, 459, 349, 290, 320, 365, 342, 278, 298, 262, 218, 209, 326, 255, 215, 137, 157, 124, 118, 124, 106, 98, 101, 83, 78, 95, 61, 91, 46, 81, 46, 34, 32, 30, 39, 36, 21, 30, 20, 17, 3, 0, 0
3/24/2020 9:48:03 PM, 54323, 26348, 2469, 2610, 3675, 1535, 1791, 1467, 1388, 1048, 1159, 1097, 912, 773, 851, 457, 564, 618, 498, 349, 290, 320, 365, 342, 278, 298, 262, 232, 209, 326, 270, 242, 183, 157, 124, 118, 124, 106, 99, 108, 100, 91, 95, 61, 104, 46, 81, 51, 36, 32, 37, 39, 42, 21, 30, 39, 17, 3, 0, 0
3/25/2020 1:00:47 PM, 58891, 30811, 2469, 2662, 4402, 1865, 2295, 1682, 1795, 1105, 1838, 1247, 912, 906, 1127, 585, 704, 618, 567, 423, 391, 377, 477, 342, 321, 346, 287, 280, 209, 401, 273, 283, 183, 163, 145, 142, 124, 164, 100, 108, 100, 91, 123, 61, 104, 46, 91, 53, 39, 37, 41, 51, 42, 21, 41, 39, 17, 3, 0, 0
3/26/2020 12:15:02 PM, 79155, 37738, 2588, 3243, 6876, 1865, 2856, 2355, 2305, 1442, 1838, 1525, 1086, 906, 1687, 630, 867, 875, 636, 580, 460, 485, 645, 424, 420, 402, 346, 335, 266, 508, 369, 449, 231, 198, 179, 155, 165, 250, 129, 137, 112, 95, 158, 68, 130, 46, 123, 71, 52, 45, 53, 64, 59, 21, 46, 52, 17, 3, 0, 0
3/26/2020 3:57:14 PM, 82791, 37738, 3012, 3894, 6876, 2538, 2856, 2355, 2305, 1526, 2417, 1525, 1430, 957, 1687, 707, 867, 1012, 707, 580, 460, 485, 645, 456, 420, 402, 346, 335, 316, 508, 502, 517, 231, 248, 180, 155, 165, 250, 168, 137, 136, 106, 158, 73, 130, 46, 123, 71, 58, 45, 53, 64, 59, 21, 46, 52, 17, 3, 0, 0
3/27/2020 10:08:05 AM, 85498, 44635, 3207, 4201, 6876, 2538, 2856, 2900, 2305, 1662, 2417, 2001, 1430, 1098, 1718, 707, 867, 1012, 829, 774, 604, 579, 981, 456, 535, 402, 398, 335, 316, 508, 517, 567, 267, 248, 180, 168, 165, 322, 171, 158, 136, 106, 158, 81, 163, 46, 189, 108, 58, 51, 70, 79, 69, 21, 46, 76, 17, 3, 0, 0
3/29/2020 6:24:46 PM, 140517, 59648, 4392, 6204, 13386, 4596, 5486, 4950, 3540, 2808, 4955, 2683, 2307, 1720, 3419, 1154, 1653, 1993, 1167, 1239, 890, 758, 1514, 774, 920, 719, 503, 426, 548, 919, 903, 827, 401, 439, 336, 253, 294, 429, 323, 258, 237, 175, 235, 120, 232, 46, 310, 161, 98, 56, 87, 127, 102, 21, 90, 124, 23, 3, 0, 2
3/31/2020 12:15:08 AM, 164266, 67325, 5250, 7426, 16636, 5057, 6498, 5704, 4025, 3184, 5752, 3032, 2627, 1928, 4154, 1285, 1933, 2627, 1373, 1413, 1020, 847, 1786, 925, 1044, 806, 576, 508, 606, 1157, 1071, 935, 495, 480, 424, 275, 408, 481, 371, 314, 281, 204, 256, 153, 264, 46, 415, 177, 109, 58, 95, 174, 119, 21, 101, 145, 30, 3, 0, 2
4/3/2020 5:52:08 PM, 276965, 103476, 7180, 12267, 29895, 8904, 12744, 10268, 10297, 5658, 10402, 5967, 4173, 3194, 8566, 1916, 3312, 4914, 2304, 2758, 2012, 1358, 3437, 1700, 1514, 1246, 789, 738, 899, 1769, 2113, 1515, 653, 831, 699, 432, 711, 988, 620, 540, 495, 319, 389, 279, 450, 46, 1013, 262, 173, 84, 162, 378, 157, 21, 187, 237, 37, 3, 0, 8
4/5/2020 9:37:24 PM, 336830, 123018, 7984, 15180, 37505, 11256, 15718, 12350, 13010, 7045, 12500, 6742, 4950, 3633, 11564, 2267, 4043, 5675, 2677, 3609, 2637, 1638, 4411, 2049, 1836, 1605, 935, 853, 1068, 2269, 2434, 1841, 998, 955, 868, 470, 922, 1252, 756, 669, 624, 371, 512, 363, 673, 46, 1101, 298, 207, 112, 200, 475, 185, 21, 240, 324, 42, 3, 0, 8
